XPIN11,COMPRA,08/03/2019,"R$122,79",2
XPLG11,COMPRA,08/03/2019,"R$103,88",4
HGBS11,COMPRA,06/02/2019,"R$230,50",1
XPIN11,COMPRA,06/02/2019,"R$119,50",2
VISC11,COMPRA,06/02/2019,"R$107,26",1
XPML11,COMPRA,06/02/2019,"R$106,34",4
KNIP11,COMPRA,03/01/2019,"R$109,98",1
KNRI11,COMPRA,02/01/2019,"R$148,69",1
VISC11,COMPRA,02/01/2019,"R$107,90",1
FLMA11,VENDA,02/01/2019,"R$2,70",42
FLMA11,COMPRA,20/12/2018,"R$2,63",39
FLMA11,COMPRA,20/12/2018,"R$2,62",3
VISC11,COMPRA,20/12/2018,"R$105,70",1
HGBS11,COMPRA,20/12/2018,"R$230,99",1
HGLG11,COMPRA,20/12/2018,"R$139,23",3
HGBS11,COMPRA,21/11/2018,"R$218,50",1
VISC11,VENDA,12/11/2018,"R$103,60",1
VISC11,COMPRA,09/11/2018,"R$103,47",1
